"burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
4.285714286,4.666666667,2.25,4.034126984,44,NA,3.05,"resilience","permanent","stressful","not satisfied","1","1"
4.857142857,4.333333333,1.875,3.938492063,60,45,2.85,"resilience","permanent","stressful","not satisfied","1","1"
5.857142857,3.333333333,1.25,3.646825397,60,45,2.8,"resilience","permanent","stressful","not satisfied","1","1"
3,2.666666667,1.25,2.472222222,84,46,3.4,"resilience","permanent","stressful","not satisfied","1","1"
NA,NA,NA,NA,36,48,NA,"resilience","permanent","stressful","not satisfied","1","1"
5.428571429,4,2.25,4.192857143,50,52,3.5,"resilience","permanent","stressful","not satisfied","1","1"
7,5.833333333,3.25,5.794444444,45,52,1.3,"resilience","permanent","stressful","not satisfied","1","1"
3.142857143,2,1.25,2.297619048,40,53,3.5,"resilience","permanent","stressful","not satisfied","1","1"
6.428571429,5.166666667,2.125,4.856746032,60,54,2.4,"resilience","permanent","stressful","not satisfied","1","1"
4,2.666666667,1.5,2.922222222,75,54,2.7,"resilience","permanent","stressful","not satisfied","1","1"
4.142857143,4.333333333,1.875,3.700396825,60,55,2.45,"resilience","permanent","stressful","not satisfied","1","1"
1.857142857,1.833333333,1.25,1.813492063,50,55,4.5,"resilience","permanent","stressful","not satisfied","1","1"
4.571428571,4.666666667,1.5,3.779365079,38,57,3.3,"resilience","permanent","stressful","not satisfied","1","1"
5.714285714,5.333333333,1.875,4.557539683,38,57,2.65,"resilience","permanent","stressful","not satisfied","1","1"
NA,3.5,1.375,NA,58,59,3.35,"resilience","permanent","stressful","not satisfied","1","1"
3.714285714,3.333333333,1.625,3.107539683,20,59,2.6,"resilience","permanent","stressful","not satisfied","1","1"
6.428571429,4.166666667,2.625,4.756746032,65,61,2.6,"resilience","permanent","stressful","not satisfied","1","1"
5.571428571,2.166666667,2.5,3.746031746,60,64,4,"resilience","permanent","stressful","not satisfied","1","1"
4.142857143,3,1,2.847619048,50,67,3.5,"resilience","permanent","stressful","not satisfied","1","1"
2.571428571,1.5,2.125,2.348809524,55,37,3.3,"resilience","permanent","stressful","not satisfied","1","1"
3.857142857,1.333333333,1.125,2.25515873,37,42,3.3,"resilience","permanent","stressful","not satisfied","1","1"
5.571428571,2.666666667,1.875,3.621031746,50,42,3.05,"resilience","permanent","stressful","not satisfied","1","1"
6.142857143,5.666666667,1.5,4.636507937,40,52,3.45,"resilience","permanent","stressful","not satisfied","1","1"
1.714285714,2.333333333,1,1.815873016,55,62,4.05,"resilience","permanent","stressful","not satisfied","1","1"
3.285714286,1.666666667,1.25,2.234126984,57,55,2.25,"resilience","short-term contract","stressful","not satisfied","1","1"
2,1.5,1.375,1.808333333,60,58,4.1,"resilience","short-term contract","stressful","not satisfied","1","1"
NA,3.166666667,2,NA,70,63,4.25,"resilience","short-term contract","stressful","not satisfied","1","1"
NA,NA,NA,NA,30,47,NA,"resilience","permanent","not stressful","satisfied","1","1"
2,1.666666667,1.5,1.922222222,50,49,3.8,"resilience","permanent","not stressful","satisfied","1","1"
1.714285714,1.833333333,2.625,2.407539683,45,56,2.65,"resilience","permanent","not stressful","satisfied","1","1"
1,1,1,1.133333333,40,56,5,"resilience","permanent","not stressful","satisfied","1","1"
1.714285714,1.166666667,1.5,1.66031746,60,58,3.65,"resilience","permanent","not stressful","satisfied","1","1"
1.857142857,1.5,1,1.585714286,60,59,3.85,"resilience","permanent","not stressful","satisfied","1","1"
2,1.666666667,1.625,1.980555556,50,59,3.75,"resilience","permanent","not stressful","satisfied","1","1"
2,2,2.375,2.441666667,35,60,3.8,"resilience","permanent","not stressful","satisfied","1","1"
2.142857143,2,1.875,2.255952381,40,NA,3.9,"no resilience","permanent","stressful","satisfied","1","1"
5.857142857,4.5,2.875,4.794047619,57,51,4,"no resilience","permanent","stressful","satisfied","1","1"
3.571428571,2.166666667,1.125,2.437698413,50,45,4.25,"resilience","permanent","stressful","satisfied","1","1"
3.285714286,1.5,1.375,2.236904762,60,46,4,"resilience","permanent","stressful","satisfied","1","1"
5.571428571,3.666666667,2.375,4.187698413,45,49,4.1,"resilience","permanent","stressful","satisfied","1","1"
2.571428571,1.5,1.125,1.882142857,42,50,4.5,"resilience","permanent","stressful","satisfied","1","1"
2.714285714,1.666666667,1.5,2.16031746,60,52,3.95,"resilience","permanent","stressful","satisfied","1","1"
6,3.666666667,1.75,4.038888889,60,55,2.8,"resilience","permanent","stressful","satisfied","1","1"
5.142857143,3,2.125,3.705952381,60,56,2.7,"resilience","permanent","stressful","satisfied","1","1"
2,1.5,1.75,1.983333333,21,57,3.7,"resilience","permanent","stressful","satisfied","1","1"
4.428571429,3.5,2.375,3.751190476,43,58,3.65,"resilience","permanent","stressful","satisfied","1","1"
4.428571429,1.833333333,1.625,2.845634921,60,59,4.15,"resilience","permanent","stressful","satisfied","1","1"
2,1.333333333,1.25,1.694444444,70,61,3.95,"resilience","permanent","stressful","satisfied","1","1"
3.428571429,3,2,3.076190476,40,44,3.4,"resilience","permanent","stressful","satisfied","1","1"
2.714285714,1.666666667,1.5,2.16031746,60,59,4.4,"resilience","permanent","stressful","satisfied","1","1"
2.857142857,2.5,1.375,2.427380952,45,67,4.5,"resilience","permanent","stressful","satisfied","1","1"
2.428571429,1.833333333,1.375,2.062301587,60,52,4.1,"resilience","short-term contract","stressful","satisfied","1","1"
3.428571429,1.333333333,2.125,2.578968254,45,54,NA,"resilience","short-term contract","stressful","satisfied","1","1"
